#{"t_start": 1641047317.2560604, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,230,6.002649
0.0,129,7.270784
3.0,271,10.140819
0.0,129,11.714072
3.0,252,14.774058
2.0,202,17.359223
0.0,129,18.929217
0.0,127,20.452727
0.0,129,21.972123
0.0,127,23.486427
0.0,129,25.003283
5.0,350,29.460701
0.0,125,30.89064
4.0,321,34.995104
3.0,250,38.135582
0.0,129,39.665828
0.0,127,41.130228
0.0,127,42.577479
0.0,129,44.115903
2.0,202,46.572196
0.0,127,48.04405
6.0,377,52.833208
0.0,125,54.319437
0.0,127,55.915904
1.0,171,57.96919
0.0,125,59.389832
4.0,278,62.853951
0.0,125,64.333868
0.0,129,65.85593
0.0,129,67.327657
0.0,127,68.850813
0.0,123,70.335237
0.0,129,71.838417
2.0,200,74.246367
0.0,127,75.691972
3.0,217,78.285583
3.0,248,81.354736
0.0,129,82.929401
7.0,428,88.329228
0.0,127,89.780898
3.0,248,92.848369
11.0,504,99.224248
2.0,200,101.700857
0.0,127,103.17567
6.0,377,107.814132
7.0,447,113.440993
3.0,228,116.180587
1.0,157,118.128571
8.0,350,122.490935
2.0,203,124.936697
3.0,229,127.794831
2.0,203,130.282313
2.0,206,132.713075
0.0,127,134.18881
6.0,399,139.162912
1.0,173,141.171263
5.0,295,144.796751
1.0,176,146.903851
4.0,263,150.0211
10.0,451,155.505381
5.0,335,159.681921
3.0,230,162.396332
9.0,490,168.267503
0.0,129,169.728293
13.0,457,175.257764
2.0,187,177.467983
5.0,350,181.680914
4.0,280,184.910964
2.0,203,187.278125
14.0,488,193.098325
7.0,392,197.771169
12.0,454,203.057626
8.0,477,208.706917
15.0,492,214.557571
6.0,355,218.700001
4.0,280,222.008876
11.0,271,225.136159
13.0,570,231.824884
8.0,394,236.458075
7.0,431,241.540864
9.0,516,247.568545
12.0,596,254.563836
12.0,302,258.036789
24.0,645,265.625801
17.0,585,272.495421
12.0,561,279.068099
11.0,490,284.803343
17.0,756,293.694652
11.0,514,299.691767
7.0,431,304.666731
14.0,382,309.059079
22.0,542,315.386202
30.0,825,324.862168
23.0,769,333.878452
16.0,578,340.701677
21.0,637,348.080315
31.0,1074,360.574811
27.0,735,369.068603
25.0,817,378.529534
24.0,712,386.839502
19.0,703,394.924502
12.0,529,400.968655
12.0,524,406.962226
29.0,921,417.684384
43.0,847,427.478442
26.0,732,435.92843
24.0,821,445.447915
35.0,1059,457.674268
37.0,1099,470.404696
28.0,737,478.795209
39.0,1081,491.043668
19.0,822,500.478146
25.0,891,510.778926
44.0,1238,525.092909
41.0,1061,537.356637
86.0,1774,557.813176
37.0,683,565.642814
18.0,641,572.907556
19.0,635,580.125862
77.0,1458,596.805447
35.0,614,603.840356
32.0,889,614.031381
35.0,944,624.77335
41.0,1096,637.285928
52.0,1097,649.756676
49.0,796,658.921018
65.0,1122,671.638476
6.0,342,675.528603
52.0,1110,688.084521
31.0,782,697.046751
38.0,588,703.720217
39.0,875,713.605252
59.0,1297,728.407918
48.0,800,737.453295
36.0,1005,748.838443
53.0,854,758.518742
88.0,1101,771.05445
65.0,1003,782.382002
95.0,1409,798.440922
82.0,1278,813.032354
54.0,971,824.015795
53.0,1187,837.468625
92.0,1326,852.575846
55.0,1219,866.408097
42.0,973,877.447459
56.0,999,888.848821
34.0,796,897.809216
54.0,1200,911.601296
35.0,974,922.646649
64.0,851,932.329957
42.0,925,942.879375
74.0,1206,956.712691
45.0,996,968.04523
117.0,2022,991.190936
110.0,1800,1011.742944
271.0,1624,1030.367602
69.0,1280,1044.943376
17.0,726,1053.115561
283.0,1775,1073.362007
105.0,1303,1088.137355
288.0,1927,1110.210346
46.0,793,1119.220572
67.0,1207,1132.897431
117.0,1522,1150.187191
47.0,762,1158.845072
131.0,1508,1176.061102
116.0,1494,1193.108623
126.0,1186,1206.566854
111.0,1461,1223.239845
332.0,1541,1240.817675
348.0,1240,1254.813763
68.0,1116,1267.419073
79.0,1191,1280.917137
71.0,1057,1292.926965
102.0,1014,1304.45632
115.0,1506,1321.544768
147.0,1574,1339.450342
197.0,1597,1357.598877
235.0,1636,1376.299759
133.0,1463,1392.978032
80.0,1133,1405.939534
1.0,157,1407.919943
3.0,214,1410.620862
29.0,566,1416.96924
145.0,1819,1437.660123
180.0,1672,1456.679981
32.0,1194,1470.604859
89.0,1450,1487.118353
126.0,1523,1504.471111
112.0,1432,1520.792434
270.0,1768,1540.938938
59.0,1401,1556.877493
223.0,1836,1577.770983
193.0,1419,1593.868589
120.0,1463,1610.415089
236.0,1627,1628.956646
210.0,1445,1645.434266
110.0,1450,1661.880988
50.0,1059,1674.329066
9.0,343,1678.285949
231.0,1716,1697.765554
317.0,1585,1715.71031
151.0,1514,1732.930414
158.0,1608,1751.188611
91.0,1199,1764.697256
185.0,1270,1779.040736
362.0,1950,1801.145153
42.0,892,1811.168958
178.0,1340,1826.347255
104.0,1242,1840.360778
39.0,968,1851.253311
287.0,1275,1865.65878
168.0,1404,1881.544192
357.0,1822,1902.192019
106.0,1029,1913.816825
357.0,1805,1934.29089
320.0,1445,1950.658837
112.0,1302,1965.359396
340.0,1805,1985.746368
193.0,1410,2001.696085
350.0,2132,2025.904348
74.0,1158,2038.931274
365.0,2216,2064.050753
281.0,1757,2083.88077
234.0,1822,2104.453523
281.0,1857,2125.421976
192.0,1501,2142.440223
286.0,1624,2160.681494
124.0,1706,2180.025211
332.0,1849,2200.975407
54.0,1021,2212.558579
136.0,1724,2232.134652
86.0,1035,2243.719486
339.0,1820,2264.388625
385.0,2298,2290.480934
122.0,1482,2307.47617
367.0,2010,2330.192396
162.0,1724,2349.669424
337.0,2048,2372.834265
157.0,1456,2389.238859
174.0,1403,2404.965268
347.0,1126,2417.754088
387.0,2157,2442.078862
354.0,1715,2461.373708
346.0,2184,2486.022171
394.0,2281,2512.049921
333.0,1318,2526.822779
369.0,1872,2548.040089
365.0,1987,2570.473397
28.0,887,2580.691702
288.0,1781,2600.891484
263.0,1841,2621.683584
237.0,1595,2639.584148
390.0,2109,2663.324396
376.0,2114,2687.277561
63.0,1247,2701.263931
199.0,1828,2722.030864
412.0,1852,2742.892029
57.0,1113,2755.329288
401.0,2617,2784.934285
427.0,2049,2808.176098
383.0,2113,2832.050121
325.0,1815,2852.625665
412.0,2933,2885.713192
405.0,2247,2911.077123
268.0,1127,2923.65278
289.0,1970,2945.874478
393.0,1903,2969.381243
