#{"t_start": 1641013625.769661, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,798,9.786369
-21.0,820,18.136582
-21.0,760,26.016634
-20.0,832,34.669547
-18.0,1194,47.027701
-21.0,969,57.157819
-20.0,1018,67.681613
-20.0,1045,78.548711
-21.0,897,87.930986
-20.0,870,96.947846
-21.0,786,105.10077
-21.0,879,114.141713
-20.0,920,123.704199
-18.0,1110,135.276988
-21.0,761,143.191014
-21.0,787,151.303524
-21.0,847,160.104045
-19.0,971,170.173256
-21.0,839,178.857445
-21.0,873,187.833532
-20.0,897,197.178169
-21.0,822,205.724964
-21.0,980,215.875813
-19.0,1080,227.073244
-20.0,865,235.973983
-21.0,851,244.754161
-20.0,1046,255.580921
-20.0,934,265.18947
-21.0,785,273.358618
-20.0,940,283.093698
-20.0,837,291.739999
-20.0,905,301.073414
-20.0,835,309.738451
-21.0,776,317.742348
-20.0,1089,329.057186
-21.0,853,337.918485
-19.0,926,347.469634
-21.0,763,355.401673
-21.0,779,363.474864
-21.0,960,373.364864
-21.0,818,381.739366
-20.0,957,391.632251
-21.0,787,399.749481
-21.0,1034,410.546993
-21.0,1052,421.398732
-21.0,762,429.342509
-21.0,761,437.236026
-21.0,762,445.154904
-21.0,759,452.954608
-21.0,763,460.909344
-21.0,764,468.79665
-20.0,910,478.258358
-20.0,893,487.570628
-21.0,927,497.229661
-21.0,895,506.556338
-21.0,885,515.791814
-21.0,1027,526.416399
-19.0,1104,537.843419
-21.0,818,546.309729
-21.0,842,555.00984
-20.0,835,563.665306
-20.0,1025,574.261871
-20.0,1074,585.417432
-20.0,884,594.542807
-18.0,1073,605.691096
-19.0,1071,616.858614
-20.0,976,626.985353
-21.0,878,636.200785
-21.0,959,646.197135
-20.0,981,656.33695
-21.0,895,665.62743
-21.0,790,673.849669
-20.0,900,683.135395
-19.0,1180,695.40185
-21.0,910,704.793615
-19.0,996,715.148106
-20.0,900,724.483058
-21.0,884,733.569416
-21.0,883,742.750011
-20.0,855,751.676636
-20.0,989,761.860966
-19.0,1014,772.44825
-21.0,970,782.44563
-18.0,1191,794.818539
-21.0,840,803.514198
-21.0,758,811.372579
-20.0,842,820.169077
-21.0,783,828.269841
-19.0,992,838.576356
-21.0,1005,849.049087
-19.0,1065,860.065697
-20.0,925,869.771941
-20.0,900,879.095775
-20.0,921,888.661957
-21.0,791,896.926011
-18.0,1181,909.121727
-20.0,1035,919.934492
-21.0,822,928.507932
-20.0,835,937.165559
-21.0,817,945.602554
-20.0,946,955.421001
-20.0,932,965.096618
-21.0,980,975.327313
-20.0,954,985.259643
-20.0,911,994.751192
-21.0,758,1002.571575
-20.0,842,1011.411426
-21.0,824,1020.008829
-20.0,939,1029.685032
-18.0,1103,1041.229131
-18.0,1132,1052.946758
-21.0,790,1061.110098
-20.0,1010,1071.618819
-19.0,1079,1082.888661
-17.0,1089,1094.156543
-20.0,894,1103.449708
-21.0,777,1111.460012
-19.0,1074,1122.554096
-20.0,1034,1133.276806
-20.0,864,1142.281091
-21.0,944,1152.085983
-21.0,821,1160.613972
-20.0,924,1170.163318
-21.0,836,1178.802742
-20.0,974,1188.87894
-19.0,974,1199.030812
-19.0,988,1209.292659
-20.0,931,1218.978048
-21.0,927,1228.526445
-20.0,843,1237.254101
-21.0,908,1246.636728
-18.0,1354,1260.69303
-20.0,943,1270.51406
-21.0,909,1279.927097
-21.0,821,1288.43255
-21.0,848,1297.186708
-20.0,989,1307.417546
-21.0,830,1315.971491
-21.0,781,1324.066888
-20.0,897,1333.414361
-20.0,1066,1344.489595
-21.0,760,1352.409221
-21.0,792,1360.601985
-18.0,990,1370.926568
-21.0,761,1378.847397
-21.0,887,1388.089973
-21.0,762,1396.04062
-20.0,955,1405.961144
-21.0,758,1413.824763
-19.0,1034,1424.49086
-21.0,819,1433.084611
-21.0,952,1442.923357
-21.0,791,1451.17055
-19.0,1027,1461.901746
-21.0,759,1469.841831
-21.0,785,1477.997256
-21.0,901,1487.361145
-19.0,937,1497.005442
-21.0,759,1504.889541
-19.0,1045,1515.744373
-21.0,958,1525.722139
-20.0,1026,1536.400447
-21.0,902,1545.819239
-21.0,764,1553.810709
-21.0,851,1562.743694
-21.0,911,1572.17088
-21.0,840,1580.914514
-21.0,878,1590.066949
-19.0,1037,1600.811285
-20.0,945,1610.717748
-20.0,958,1620.696394
-19.0,1017,1631.218826
-21.0,820,1639.758494
-21.0,757,1647.671674
-20.0,865,1656.669679
-21.0,969,1666.748561
-21.0,820,1675.246487
-18.0,1075,1686.366407
-20.0,1007,1696.883362
-21.0,823,1705.423406
-19.0,965,1715.409137
-18.0,1061,1726.489556
-21.0,943,1736.363638
-21.0,819,1744.827762
-20.0,1136,1756.751823
-20.0,893,1765.928818
-21.0,792,1774.097568
-20.0,1082,1785.317963
-21.0,786,1793.561467
-21.0,943,1803.461706
-21.0,907,1812.847384
-21.0,885,1822.073766
-19.0,1184,1834.364726
-20.0,1070,1845.527558
-18.0,1103,1857.065351
-20.0,832,1865.729387
-19.0,975,1875.827527
-20.0,983,1886.067889
-20.0,895,1895.346443
-21.0,783,1903.49353
-21.0,760,1911.372117
-19.0,942,1921.190193
-21.0,905,1930.558834
-19.0,988,1940.867135
