#{"t_start": 1641047792.944141, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
20.0,391,7.10335
240.0,850,15.30792
260.0,864,24.577681
440.0,1608,41.988981
260.0,852,51.174369
400.0,1254,64.602683
480.0,1468,80.389356
520.0,1584,97.207401
300.0,989,107.7231
320.0,1134,119.776223
240.0,838,128.670532
480.0,1570,145.443936
600.0,1760,164.284297
320.0,952,174.402579
300.0,1033,185.439299
660.0,1889,205.59706
660.0,1930,226.134054
620.0,1796,245.106749
640.0,1885,265.152234
620.0,1782,284.003415
720.0,2021,305.405677
480.0,1515,321.351784
800.0,2253,345.136266
540.0,1561,361.635671
820.0,2266,385.480664
600.0,1778,404.303587
840.0,2265,428.266542
640.0,1731,446.560246
820.0,2272,470.640268
800.0,2272,494.724702
840.0,2279,518.789548
540.0,1537,535.048504
760.0,2009,556.169071
660.0,1820,575.391326
640.0,1672,593.037545
780.0,2056,614.896558
860.0,2266,638.944892
500.0,1362,653.299232
860.0,2277,677.349888
780.0,1985,698.29963
440.0,1259,711.538706
660.0,1842,731.139249
780.0,1969,751.992942
880.0,2266,775.906818
620.0,1716,794.085062
520.0,1329,808.132571
680.0,1685,826.137773
780.0,1573,842.880664
900.0,1406,857.751929
940.0,1511,873.747216
1380.0,1943,894.304363
1100.0,1702,912.227836
1520.0,2269,936.369029
1540.0,2268,960.453175
1240.0,1829,979.796448
980.0,1501,995.672039
860.0,1487,1011.398419
860.0,1368,1025.835671
1680.0,2268,1049.91442
1080.0,1674,1067.605408
720.0,1375,1082.20687
1180.0,1755,1100.808017
420.0,831,1109.637528
1320.0,1833,1129.06698
1280.0,1830,1148.371262
1500.0,2268,1172.399762
1440.0,2056,1194.112061
1200.0,1733,1212.461464
1020.0,1529,1228.708819
1740.0,2265,1252.737547
1600.0,2199,1276.010951
1140.0,1720,1294.185704
1520.0,2077,1316.233137
1680.0,2267,1340.168378
1680.0,2278,1364.193391
1640.0,2255,1388.090467
1640.0,2244,1411.808977
1680.0,2267,1435.615647
1620.0,2182,1458.720397
1700.0,2264,1482.583514
1740.0,2264,1506.533857
1680.0,2267,1530.558672
1640.0,2264,1554.501886
1560.0,2266,1578.436496
1600.0,2197,1601.64462
1720.0,2267,1625.631126
1700.0,2243,1649.269114
1660.0,2271,1673.265317
1740.0,2266,1697.139265
1660.0,2268,1721.148011
1540.0,2263,1745.067152
1720.0,2267,1768.984876
1560.0,2266,1792.942961
1640.0,2267,1816.911508
1640.0,2267,1841.11209
1720.0,2264,1865.043453
1260.0,1823,1884.256389
1280.0,1819,1903.478161
1660.0,2271,1927.584912
1340.0,1875,1947.293569
1660.0,2265,1971.236136
1700.0,2265,1995.15573
1660.0,2211,2018.484138
1460.0,2000,2039.5779
1740.0,2264,2063.40658
1680.0,2264,2087.330616
1660.0,2269,2111.330089
1420.0,2000,2132.469942
1660.0,2266,2156.40413
1740.0,2265,2180.381432
1700.0,2264,2204.219355
1140.0,2026,2225.942388
260.0,919,2235.740817
1280.0,2088,2257.93354
1760.0,2264,2281.774485
1660.0,2270,2305.738381
1760.0,2270,2329.731756
1700.0,2269,2353.644607
1700.0,2270,2377.558406
1720.0,2270,2401.485361
1700.0,2266,2425.476164
1700.0,2269,2449.471153
1700.0,2268,2473.470875
1620.0,2266,2499.242598
